Entity,Code,Year,Deaths - Cause: All causes - Risk: High body-mass index - Sex: Both - Age: Age-standardized (Percent)
Afghanistan,AFG,2019,12.34
Albania,ALB,2019,12.87
Algeria,DZA,2019,17.06
American Samoa,ASM,2019,22.38
Andorra,AND,2019,9.03
Angola,AGO,2019,5.22
Antigua and Barbuda,ATG,2019,13.58
Argentina,ARG,2019,10.38
Armenia,ARM,2019,15.37
Australia,AUS,2019,10.72
Austria,AUT,2019,10.44
Azerbaijan,AZE,2019,16.61
Bahamas,BHS,2019,15.18
Bahrain,BHR,2019,22.09
Bangladesh,BGD,2019,4.66
Barbados,BRB,2019,13.77
Belarus,BLR,2019,15.4
Belgium,BEL,2019,7.41
Belize,BLZ,2019,15.6
Benin,BEN,2019,7.01
Bermuda,BMU,2019,13.44
Bhutan,BTN,2019,6.81
Bolivia,BOL,2019,11.77
Bosnia and Herzegovina,BIH,2019,14.87
Botswana,BWA,2019,12.05
Brazil,BRA,2019,12.03
Brunei,BRN,2019,8.3
Bulgaria,BGR,2019,17.82
Burkina Faso,BFA,2019,4.94
Burundi,BDI,2019,3.06
Cambodia,KHM,2019,4.39
Cameroon,CMR,2019,9.48
Canada,CAN,2019,10.02
Cape Verde,CPV,2019,10.08
Central African Republic,CAF,2019,2.82
Chad,TCD,2019,3.4
Chile,CHL,2019,12.06
China,CHN,2019,6.39
Colombia,COL,2019,10.23
Comoros,COM,2019,6.45
Congo,COG,2019,9.56
Cook Islands,COK,2019,26.05
Costa Rica,CRI,2019,11.25
Cote d'Ivoire,CIV,2019,6.23
Croatia,HRV,2019,14.42
Cuba,CUB,2019,11.17
Cyprus,CYP,2019,8.95
Czechia,CZE,2019,14.83
Democratic Republic of Congo,COD,2019,4.89
Denmark,DNK,2019,7.35
Djibouti,DJI,2019,5.53
Dominica,DMA,2019,14.96
Dominican Republic,DOM,2019,12.71
Ecuador,ECU,2019,14.27
Egypt,EGY,2019,21.27
El Salvador,SLV,2019,13.54
Equatorial Guinea,GNQ,2019,10.26
Eritrea,ERI,2019,5.13
Estonia,EST,2019,17.92
Eswatini,SWZ,2019,14.48
Ethiopia,ETH,2019,3.76
Fiji,FJI,2019,27.55
Finland,FIN,2019,9.65
France,FRA,2019,7.51
Gabon,GAB,2019,12.07
Gambia,GMB,2019,7.66
Georgia,GEO,2019,17.11
Germany,DEU,2019,10.81
Ghana,GHA,2019,10.18
Greece,GRC,2019,10.6
Greenland,GRL,2019,9.5
Grenada,GRD,2019,13.92
Guam,GUM,2019,18.77
Guatemala,GTM,2019,9.24
Guinea,GIN,2019,5.16
Guinea-Bissau,GNB,2019,5.51
Guyana,GUY,2019,15.9
Haiti,HTI,2019,6.09
Honduras,HND,2019,10.82
Hungary,HUN,2019,15.55
Iceland,ISL,2019,9.51
India,IND,2019,5.69
Indonesia,IDN,2019,8.44
Iran,IRN,2019,15.43
Iraq,IRQ,2019,20.96
Ireland,IRL,2019,9.05
Israel,ISR,2019,10.69
Italy,ITA,2019,9.7
Jamaica,JAM,2019,17.56
Japan,JPN,2019,3.92
Jordan,JOR,2019,23.93
Kazakhstan,KAZ,2019,15.95
Kenya,KEN,2019,6.15
Kiribati,KIR,2019,16.49
Kuwait,KWT,2019,21.45
Kyrgyzstan,KGZ,2019,12.93
Laos,LAO,2019,7.45
Latvia,LVA,2019,15.31
Lebanon,LBN,2019,18.13
Lesotho,LSO,2019,8.69
Liberia,LBR,2019,7.13
Libya,LBY,2019,19.5
Lithuania,LTU,2019,14.41
Luxembourg,LUX,2019,8.36
Madagascar,MDG,2019,6.2
Malawi,MWI,2019,5.45
Malaysia,MYS,2019,9.73
Maldives,MDV,2019,6.62
Mali,MLI,2019,4.92
Malta,MLT,2019,9.5
Marshall Islands,MHL,2019,14.26
Mauritania,MRT,2019,10.11
Mauritius,MUS,2019,18.93
Mexico,MEX,2019,16.6
Micronesia (country),FSM,2019,18.71
Moldova,MDA,2019,15.65
Monaco,MCO,2019,9.22
Mongolia,MNG,2019,13.06
Montenegro,MNE,2019,17
Morocco,MAR,2019,17.04
Mozambique,MOZ,2019,4.38
Myanmar,MMR,2019,6.6
Namibia,NAM,2019,9.72
Nauru,NRU,2019,19.95
Nepal,NPL,2019,4.39
Netherlands,NLD,2019,7.34
New Zealand,NZL,2019,10.31
Nicaragua,NIC,2019,14.71
Niger,NER,2019,3.75
Nigeria,NGA,2019,5.06
Niue,NIU,2019,21.61
North Korea,PRK,2019,3.28
North Macedonia,MKD,2019,17.51
Northern Mariana Islands,MNP,2019,18.63
Norway,NOR,2019,6.62
Oman,OMN,2019,19.41
Pakistan,PAK,2019,8.02
Palau,PLW,2019,18.56
Palestine,PSE,2019,16.5
Panama,PAN,2019,11.46
Papua New Guinea,PNG,2019,7.21
Paraguay,PRY,2019,14.23
Peru,PER,2019,9.5
Philippines,PHL,2019,9.52
Poland,POL,2019,13.77
Portugal,PRT,2019,8.66
Puerto Rico,PRI,2019,17.23
Qatar,QAT,2019,23.91
Romania,ROU,2019,15.61
Russia,RUS,2019,15.1
Rwanda,RWA,2019,5.41
Saint Kitts and Nevis,KNA,2019,14.13
Saint Lucia,LCA,2019,13.3
Saint Vincent and the Grenadines,VCT,2019,14.74
Samoa,WSM,2019,19.28
San Marino,SMR,2019,8.33
Sao Tome and Principe,STP,2019,9.76
Saudi Arabia,SAU,2019,21.17
Senegal,SEN,2019,7.19
Serbia,SRB,2019,15.45
Seychelles,SYC,2019,9.78
Sierra Leone,SLE,2019,4.29
Singapore,SGP,2019,7.13
Slovakia,SVK,2019,15.41
Slovenia,SVN,2019,12.08
Solomon Islands,SLB,2019,13.12
Somalia,SOM,2019,1.82
South Africa,ZAF,2019,11.87
South Korea,KOR,2019,5.85
South Sudan,SSD,2019,5.53
Spain,ESP,2019,9.63
Sri Lanka,LKA,2019,10.77
Sudan,SDN,2019,14.52
Suriname,SUR,2019,14.07
Sweden,SWE,2019,9.21
Switzerland,CHE,2019,8.31
Syria,SYR,2019,16.46
Taiwan,TWN,2019,7.83
Tajikistan,TJK,2019,9.31
Tanzania,TZA,2019,7.05
Thailand,THA,2019,8.14
Timor,TLS,2019,3.23
Togo,TGO,2019,6.11
Tokelau,TKL,2019,18.6
Tonga,TON,2019,17.73
Trinidad and Tobago,TTO,2019,20.28
Tunisia,TUN,2019,16.71
Turkey,TUR,2019,16.87
Turkmenistan,TKM,2019,20.08
Tuvalu,TUV,2019,16.11
Uganda,UGA,2019,5.43
Ukraine,UKR,2019,15.75
United Arab Emirates,ARE,2019,24.3
United Kingdom,GBR,2019,9.11
United States,USA,2019,12.97
United States Virgin Islands,VIR,2019,18.14
Uruguay,URY,2019,9.52
Uzbekistan,UZB,2019,16.66
Vanuatu,VUT,2019,13.58
Venezuela,VEN,2019,13.74
Vietnam,VNM,2019,5.53
World,OWID_WRL,2019,8.52
Yemen,YEM,2019,8.27
Zambia,ZMB,2019,6.8
Zimbabwe,ZWE,2019,6.43
