Entity,Code,Year,Trade (% of GDP)
Albania,ALB,2020,60.96992111
Algeria,DZA,2020,45.84199142
American Samoa,ASM,2020,151.9040833
Angola,AGO,2020,66.90747833
Antigua and Barbuda,ATG,2020,91.52513885
Argentina,ARG,2020,30.14814186
Armenia,ARM,2020,69.49099731
Australia,AUS,2020,44.03952789
Austria,AUT,2020,99.99893951
Azerbaijan,AZE,2020,72.16293335
Bahamas,BHS,2020,49.90966415
Bangladesh,BGD,2020,30.51946449
Belarus,BLR,2020,120.6823502
Belgium,BEL,2020,158.6213989
Belize,BLZ,2020,85.62898254
Benin,BEN,2020,44.83323288
Bermuda,BMU,2020,72.07242584
Bhutan,BTN,2020,76.2407074
Bolivia,BOL,2020,45.67144394
Bosnia and Herzegovina,BIH,2020,83.00364685
Botswana,BWA,2020,77.13946533
Brazil,BRA,2020,32.35429764
Brunei,BRN,2020,110.2910004
Bulgaria,BGR,2020,109.1775284
Burundi,BDI,2020,32.90127563
Cambodia,KHM,2020,123.8104019
Cameroon,CMR,2020,33.26116943
Canada,CAN,2020,60.78253174
Cape Verde,CPV,2020,84.69273376
Cayman Islands,CYM,2020,106.6788254
Central African Republic,CAF,2020,52.20159912
Chad,TCD,2020,68.0088501
Chile,CHL,2020,57.84183502
China,CHN,2020,34.50688934
Colombia,COL,2020,33.65364838
Comoros,COM,2020,33.40287399
Congo,COG,2020,110.0669785
Costa Rica,CRI,2020,61.32834625
Cote d'Ivoire,CIV,2020,42.01533508
Croatia,HRV,2020,90.80771637
Cuba,CUB,2020,15.68298721
Cyprus,CYP,2020,154.5827332
Czechia,CZE,2020,135.1522827
Democratic Republic of Congo,COD,2020,58.49134445
Denmark,DNK,2020,103.3122482
Djibouti,DJI,2020,293.775116
Dominican Republic,DOM,2020,44.2936554
Ecuador,ECU,2020,43.28601837
Egypt,EGY,2020,33.75918198
El Salvador,SLV,2020,69.42698669
Equatorial Guinea,GNQ,2020,89.77526855
Estonia,EST,2020,141.8693695
Eswatini,SWZ,2020,87.32375336
Ethiopia,ETH,2020,24.01823235
Fiji,FJI,2020,70.72753143
Finland,FIN,2020,72.07539368
France,FRA,2020,57.76742935
Gabon,GAB,2020,70.43734741
Gambia,GMB,2020,44.8874054
Georgia,GEO,2020,93.87580109
Germany,DEU,2020,81.10855103
Ghana,GHA,2020,68.04327393
Greece,GRC,2020,71.58292389
Guam,GUM,2020,64.09992981
Guatemala,GTM,2020,41.84062576
Guinea,GIN,2020,90.22789001
Guinea-Bissau,GNB,2020,43.63584137
Haiti,HTI,2020,37.41389084
Honduras,HND,2020,85.75374603
Hong Kong,HKG,2020,351.6640015
Hungary,HUN,2020,157.2583618
Iceland,ISL,2020,69.21221924
India,IND,2020,37.87099838
Indonesia,IDN,2020,33.1905899
Iran,IRN,2020,51.29436874
Ireland,IRL,2020,239.9510345
Israel,ISR,2020,51.41462326
Italy,ITA,2020,55.08529663
Jamaica,JAM,2020,89.97451019
Japan,JPN,2020,31.07269287
Jordan,JOR,2020,65.37192535
Kazakhstan,KAZ,2020,56.21952438
Kenya,KEN,2020,27.35304832
Kosovo,XXK,2020,75.60801697
Kyrgyzstan,KGZ,2020,83.01012421
Latvia,LVA,2020,119.481987
Lebanon,LBN,2020,45.56102371
Lesotho,LSO,2020,152.5146332
Libya,LBY,2020,91.8112793
Lithuania,LTU,2020,137.7171783
Luxembourg,LUX,2020,376.2950439
Macao,MAC,2020,121.2518921
Madagascar,MDG,2020,48.99329376
Malaysia,MYS,2020,116.4250412
Maldives,MDV,2020,117.8898468
Mali,MLI,2020,64.8649826
Malta,MLT,2020,271.5468445
Marshall Islands,MHL,2020,104.4603195
Mauritania,MRT,2020,91.06025696
Mauritius,MUS,2020,78.69660187
Mexico,MEX,2020,78.19582367
Micronesia (country),FSM,2020,88.59169006
Moldova,MDA,2020,75.68846893
Mongolia,MNG,2020,112.8386459
Montenegro,MNE,2020,87.00601959
Morocco,MAR,2020,77.48203278
Myanmar,MMR,2020,54.46802521
Namibia,NAM,2020,76.4059906
Nepal,NPL,2020,40.64712524
Netherlands,NLD,2020,145.3046265
New Zealand,NZL,2020,44.26477432
Nicaragua,NIC,2020,89.47442627
Niger,NER,2020,36.17637634
Nigeria,NGA,2020,25.39978981
North Macedonia,MKD,2020,129.0585938
Norway,NOR,2020,65.33048248
Oman,OMN,2020,81.04950714
Pakistan,PAK,2020,27.47861481
Palestine,PSE,2020,67.11714172
Panama,PAN,2020,74.07718658
Paraguay,PRY,2020,62.78144455
Peru,PER,2020,43.43672943
Philippines,PHL,2020,58.17486954
Poland,POL,2020,105.57547
Portugal,PRT,2020,76.17667389
Qatar,QAT,2020,90.01909637
Romania,ROU,2020,78.97916412
Russia,RUS,2020,46.08308029
Rwanda,RWA,2020,54.34366989
Samoa,WSM,2020,82.67362213
Saudi Arabia,SAU,2020,50.60237885
Senegal,SEN,2020,56.09275436
Serbia,SRB,2020,104.7610245
Seychelles,SYC,2020,175.0991669
Sierra Leone,SLE,2020,51.55793762
Singapore,SGP,2020,320.5635071
Slovakia,SVK,2020,169.9471741
Slovenia,SVN,2020,146.5409088
Solomon Islands,SLB,2020,63.07001495
Somalia,SOM,2020,100.4409714
South Africa,ZAF,2020,51.12684631
South Korea,KOR,2020,69.21552277
Spain,ESP,2020,59.76872253
Sri Lanka,LKA,2020,39.52338028
Sudan,SDN,2020,0.784630835
Sweden,SWE,2020,84.53333282
Switzerland,CHE,2020,115.8893967
Tajikistan,TJK,2020,55.27150726
Tanzania,TZA,2020,29.60424995
Thailand,THA,2020,97.9942627
Timor,TLS,2020,162.9633942
Togo,TGO,2020,52.94914246
Tonga,TON,2020,81.23931122
Turkey,TUR,2020,61.14060211
Uganda,UGA,2020,37.00069427
Ukraine,UKR,2020,79.17539978
United Kingdom,GBR,2020,56.10885239
United States,USA,2020,23.37612724
Uruguay,URY,2020,46.36830902
Uzbekistan,UZB,2020,61.99237061
Vanuatu,VUT,2020,61.67353058
Vietnam,VNM,2020,208.2540741
World,OWID_WRL,2020,51.61859894
Zambia,ZMB,2020,79.32548523
Zimbabwe,ZWE,2020,76.00193787
